Countycode,民國年月,YYYMM,十八尖山人次,青青草原人次,城隍廟人次,新竹漁港人次,賞蟹步道人次,青草湖人次,十七公里自行車道人次,新竹公園人次
"10018","10801","10801","138881","22226","186932","226935","8574","14436","7538","16902"
"10018","10802","10802","137512","40034","251404","219437","20629","16169","17081","42939"
"10018","10803","10803","101301","32227","157317","241011","20187","12116","8621","26910"
"10018","10804","10804","186020","64880","205830","272600","29660","17830","18440","26210"
"10018","10805","10805","160695","30172","212146","309255","24648","15267","26268","21465"
"10018","10806","10806","169084","31216","187465","331952","28083","20814","25789","20129"
"10018","10807","10807","144669","22904","198434","244742","17773","11831","14751","15135"
"10018","10808","10808","135557","26594","231224","355109","39719","11184","22155","31347"
"10018","10809","10809","127176","20196","195564","383046","18363","10686","12789","16797"
"10018","10810","10810","180991","28184","191720","361919","22722","23675","23162","20279"
"10018","10811","10811","180144","30951","216609","388662","9780","18252","22773","20274"
"10018","10812","10812","147301","35819","278915","324479","10636","24947","16739","105026"
"10018","10901","10901","192081","58063","241389","452276","15147","32690","27195","111424"
"10018","10902","10902","170677","55954","214330","346007","13845","26325","26713","60096"
"10018","10903","10903","190673","46964","191038","348776","18197","26448","16169","54852"
"10018","10904","10904","176280","48150","182500","436020","22280","30240","15100","28410"
"10018","10905","10905","176766","28049","180354","479606","39281","19229","27312","15862"
"10018","10906","10906","157671","29247","132915","418083","29289","0","12825","25479"
"10018","10907","10907","152906","20355","156496","405958","19079","0","13033","24688"
"10018","10908","10908","134013","18940","245491","443330","27133","0","13944","46716"
"10018","10909","10909","123727","15243","220832","379548","21757","0","11504","35385"
"10018","10910","10910","155288","40679","297404","471760","41047","0","18855","35946"
"10018","10911","10911","160638","29079","242025","366255","27489","0","12288","37353"
"10018","10912","10912","174896","31411","215972","283667","17748","0","12690","40400"
"10018","11001","11001","224536","42854","277326","446103","39134","0","27216","54312"
"10018","11002","11002","147966","45449","278132","425314","62236","0","23264","46091"
"10018","11003","11003","217611","48210","243618","523491","37094","0","10230","45131"
"10018","11004","11004","158943","35476","244093","423958","37319","0","10432","33988"
"10018","11005","11005","129345","16221","38142","314924","7694","0","9067","9333"
"10018","11006","11006","93927","14370","25047","298521","0","0","9036","6738"
"10018","11007","11007","133773","17349","48399","428844","0","0","5274","12147"
"10018","11008","11008","31819","15920","128429","347517","53174","20952","77241","262032"
"10018","11009","11009","35868","15641","133830","338044","47915","23206","75497","285650"
"10018","11010","11010","39587","16129","175007","329722","53667","24427","77028","340586"
"10018","11011","11011","37119","14095","163210","247326","48434","26585","71225","318006"
"10018","11012","11012","34088","18224","139901","165449","39571","30484","71086","326249"
"10018","11101","11101","31700","15813","188976","191468","36151","25982","59075","302355"
"10018","11102","11102","26156","15100","191056","201101","36133","23177","53969","318895"
"10018","11103","11103","38857","19687","178640","217938","45093","30485","62425","323632"
"10018","11104","11104","30732","15367","166005","231239","46850","31064","61674","287259"
"10018","11105","11105","27462","14186","135562","206038","41774","26650","58140","241683"
"10018","11106","11106","29498","14267","147168","233642","43670","28439","60637","265770"
"10018","11107","11107","30087","14698","179930","269754","56736","37215","67855","308426"
"10018","11108","11108","32647","16649","185557","243910","47678","34569","72416","306616"
"10018","11109","11109","40399","14910","144899","257509","43079","35977","72806","276774"
"10018","11110","11110","40629","16740","166309","241770","42761","40324","73952","319827"
"10018","11111","11111","41182","15068","166078","233770","44521","39158","70636","337236"
"10018","11112","11112","40004","15755","168543","167056","33987","38245","66226","303095"
"10018","11201","11201","34167","17673","245598","260716","38046","41519","73721","384687"
"10018","11202","11202","34751","15014","166791","175122","34190","39228","62421","369914"
"10018","11203","11203","45610.8609476852","17837.7725701847","165788.26937816","187129","40545","42695","69973","341713"
"10018","11204","11204","39497","17458","182563","270167","49752","41204","75510","379597"
"10018","11205","11205","42292","17701","155548","218298","44717","39577","69947","306380"
"10018","11206","11206","35614.8540405373","15798.7549641823","161052.589080679","239908.316084677","44140.6656374615","35024.6945089175","68128.3792929015","294764.945453618"
"10018","11207","11207","40030.9376655402","17154.5326903947","160443.833155995","221268.974221666","43368.4254369512","36572.2325584035","71584.150934432","299801.247053373"
"10018","11208","11208","36336.4018738374","16194.8890378247","182274.712251028","221844.50297798","41468.1950514683","34951.0198291117","70624.3416124471","296642.37284954"
"10018","11209","11209","42212.3848585526","15807.1469805084","160935.350578372","283825.777574581","41988.8538461788","33197.0458980822","71219","299459.77937195"
"10018","11210","11210","42186","17028","168734","253456","50561","37698","76699","344045"
"10018","11211","11211","43505","15373","151316","181813","41618","35729","65102","317921"
"10018","11212","11212","43510.9694446982","18075.373083577","164732.576418996","183567","39224","35753","67817","316345"
